,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,behavior,lateral_acc,lateral_vel,mean_vel
12934,12934,909172,8193311,74,494,949,1113433184300,41.601000000000006,396.578,6042823.904,2133466.1980000003,14.3,6.9,2,17.05,9.27,4,,,,,,,66,60,42.78,2.51,i-80,2,1.4210854715202004e-12,0.39000000000008583,16.645166666666668
12935,12935,438533,7722672,17,494,413,1113433184300,5.487,236.329,6042807.5589999985,2133302.935,15.3,7.9,2,25.38,0.75,1,,,,,,,2,25,67.09,2.64,i-80,2,-8.881784197001252e-14,0.019999999999997797,16.649833333333337
12936,12936,535038,7819177,67,494,769,1113433184300,53.787,270.564,6042851.38,2133342.576,14.9,5.9,2,15.95,3.37,5,,,,,,,61,77,43.38,2.72,i-80,2,-3.399999999999892,-1.1299999999999955,16.65316666666667
12937,12937,788206,8072345,60,494,852,1113433184300,42.348,359.221,6042829.204,2133429.495,15.8,6.4,2,12.45,-0.44,4,,,,,,,74,84,37.36,3.0,i-80,2,0.0,0.030000000000001137,16.652833333333337
12938,12938,77414,7361553,117,494,726,1113433184300,17.121,93.411,6042836.756,2133162.486,18.8,6.5,2,9.05,-7.96,2,,,,,,,116,0,31.47,3.48,i-80,2,-1.1999999999996902,0.0,16.63416666666667
12939,12939,1379488,8663627,11,494,864,1113433184300,16.89,537.7919999999998,6042781.961,2133603.508,17.3,8.4,2,22.9,0.43,2,,,,,,,1,24,57.58,2.51,i-80,2,0.4999999999999005,-0.9700000000000131,16.634000000000004
12940,12940,897170,8181309,54,494,901,1113433184300,28.76,394.477,6042811.402000003,2133462.592,13.4,5.3,2,14.64,5.32,3,,,,,,,51,86,44.9,3.07,i-80,2,16.09999999999978,-0.3200000000000003,16.642833333333336
12941,12941,1596664,8880803,7,494,711,1113433184300,67.589,595.127,6042825.105,2133666.705,17.8,7.9,2,27.97,-4.42,6,,,,,,,5,21,72.96,2.61,i-80,2,0.10000000000047748,0.060000000000002274,16.637000000000004
12942,12942,159680,7443819,116,494,792,1113433184300,16.935,124.883,6042832.677,2133193.771,15.9,5.9,2,18.68,-3.46,2,,,,,,,97,117,49.89,2.67,i-80,2,-2.7999999999998693,0.5499999999999972,16.656333333333336
12943,12943,561391,7845530,79,494,786,1113433184300,15.894,284.885,6042812.061000003,2133352.3030000003,17.8,7.4,2,11.02,0.07,2,,,,,,,59,87,46.62,4.23,i-80,2,1.7763568394002505e-13,0.9500000000000064,16.656333333333336
12944,12944,1046658,8330797,51,494,937,1113433184300,27.003,439.375,6042803.99,2133506.984,30.7,8.5,3,14.0,-0.09,3,,,,,,,50,54,65.46,4.68,i-80,2,-0.10000000000012221,-0.04000000000001336,16.651333333333337
12945,12945,169862,7454001,102,494,782,1113433184300,52.95399999999999,124.574,6042868.462,2133197.881,13.3,6.3,2,7.76,-0.16,5,,,,,,,94,109,27.71,3.57,i-80,2,-2.600000000001046,0.00999999999990564,16.651000000000003
12946,12946,629563,7913702,84,494,860,1113433184300,40.533,306.527,6042833.962,2133376.755,15.8,8.5,2,15.3,5.89,4,,,,,,,60,100,52.69,3.44,i-80,2,-0.09999999999976694,-0.06999999999997897,16.65566666666667
12947,12947,631446,7915585,86,494,837,1113433184300,26.039,308.843,6042819.278,2133377.425,67.7,8.5,3,10.63,2.2,3,,,,,,,54,90,85.63,8.06,i-80,2,0.19999999999988916,0.0,16.657666666666668
12948,12948,691399,7975538,59,494,783,1113433184300,16.05,331.504,6042806.57,2133398.68,12.8,6.8,2,19.49,-0.15,2,,,,,,,55,79,66.88,3.43,i-80,2,0.0,0.010000000000012221,16.657333333333337
12949,12949,119922,7404061,103,494,774,1113433184300,65.26899999999999,103.416,6042883.307,2133178.348,16.3,7.9,2,2.33,0.0,6,,,,,,,89,3333,31.22,13.4,i-80,2,0.10000000000047748,0.16999999999995907,16.657333333333337
12950,12950,1049281,8333420,32,494,807,1113433184300,65.303,434.606,6042842.465,2133507.786,15.3,7.4,2,28.53,10.33,6,,,,,,,41,45,57.34,2.01,i-80,2,-1.4210854715202004e-12,0.4599999999999227,16.676833333333335
12951,12951,1271929,8556068,50,494,1089,1113433184300,30.654,504.832,6042799.663,2133572.4480000003,15.3,7.4,2,20.02,-0.13,3,,,,,,,36,51,69.5,3.47,i-80,2,0.0,0.4899999999999949,16.676333333333336
12952,12952,1343106,8627245,4,494,749,1113433184300,54.389,522.578,6042821.05,2133592.946,13.4,5.3,2,23.25,0.13,5,,,,,,,0,27,0.0,0.0,i-80,2,0.6000000000000227,-0.009999999999976694,16.677333333333333
12953,12953,1475185,8759324,21,494,783,1113433184300,60.931,560.2669999999998,6042822.8489999985,2133631.3030000003,12.8,6.8,2,21.49,0.66,6,,,,,,,7,41,34.86,1.62,i-80,2,-3.100000000000591,2.5199999999999534,16.67666666666667
12954,12954,654990,7939129,61,494,810,1113433184300,54.034,313.943,6042846.429,2133385.946,13.3,7.3,2,17.23,6.22,5,,,,,,,43,67,56.75,3.29,i-80,2,0.10000000000189857,0.020000000000024443,16.686833333333336
12955,12955,1701913,8986052,3355,494,1192,1113433184300,18.092,632.385,6042771.369,2133697.502,20.8,8.0,2,25.31,-5.73,2,,,,,,,0,1,0.0,0.0,i-80,2,-36.60000000000032,1.29999999999999,16.688000000000002
12956,12956,242838,7526977,94,494,791,1113433184300,52.977,152.283,6042865.052,2133225.396,18.3,7.5,2,12.49,-11.2,5,,,,,,,77,102,47.15,3.78,i-80,2,-0.5000000000009663,-0.040000000000048885,16.673333333333336
12957,12957,112615,7396754,137,494,808,1113433184300,39.869,103.704,6042858.062000001,2133175.528,18.3,7.0,2,7.02,-3.1,4,,,,,,,122,0,30.87,4.4,i-80,2,0.09999999999976694,0.0,16.671833333333336
12958,12958,289463,7573602,97,494,789,1113433184300,16.939,174.771,6042826.52,2133243.222,13.9,5.3,2,9.06,0.0,2,,,,,,,93,116,30.95,3.42,i-80,2,0.10000000000047748,0.1600000000000179,16.671833333333336
12959,12959,413292,7697431,72,494,773,1113433184300,67.765,220.536,6042871.587,2133292.701,12.8,6.3,2,6.06,11.2,6,,,,,,,68,81,39.52,6.52,i-80,2,-2.7000000000001023,0.0,16.772833333333335
12960,12960,286523,7570662,81,494,773,1113433184300,64.741,167.72299999999996,6042874.826,2133242.123,17.8,7.4,2,8.99,-0.48,6,,,,,,,72,89,52.81,5.87,i-80,2,0.10000000000047748,0.5100000000000193,16.772000000000002
